period,description,mcc,type,type_name,value_in_cr,volume_in_mn
2017-05,Groceries and supermarkets,5411,High Transacting Categories,,14.9,0.21
2017-05,Wire transfers and money orders,4829,High Transacting Categories,,0.87,0.08
2017-05,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.27,0.01
2017-05,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",4214,High Transacting Categories,,1.29,0.01
2017-05,Travel agencies and tour operators,4722,High Transacting Categories,,1.69,0.01
2017-05,General contractors residential and commercial,1520,High Transacting Categories,,0.82,0.01
2017-05,Bus lines,4131,High Transacting Categories,,0.79,0.01
2017-05,Debt collection agencies,7322,High Transacting Categories,,1.73,0.0
2017-05,Motion picture theatres,7832,Medium Transacting Categories,,0.04,0.0
2017-05,Eating places and restaurants,5812,Medium Transacting Categories,,0.02,0.0
2017-05,Drug stores and pharmacies,5912,Medium Transacting Categories,,0.03,0.0
2017-05,Financial institutions automated cash disbursements,6011,Medium Transacting Categories,,0.0,0.0
2017-05,Miscellaneous general merchandise,5399,Medium Transacting Categories,,0.18,0.0
2017-05,Financial institutions merchandise and services,6012,Medium Transacting Categories,,0.19,0.0
2017-05,Financial institutions manual cash disbursements,6010,Medium Transacting Categories,,0.0,0.0
2017-05,Theatrical producers (except motion pictures) and ticket agencies,7922,Medium Transacting Categories,,0.01,0.0
2017-05,Buying and shopping services and clubs,7278,Medium Transacting Categories,,0.0,0.0
2017-05,Business services not elsewhere classified,7399,Medium Transacting Categories,,0.0,0.0
2017-05,Taxi-cabs and limousines,4121,All Other Categories,,0.0,0.0
2017-05,Government services not elsewhere classified,9399,All Other Categories,,0.01,0.0
2017-05,Securities brokers and dealers,6211,All Other Categories,,0.05,0.0
2017-05,"Insurance sales, underwriting and premiums",6300,All Other Categories,,0.08,0.0
2017-05,Miscellaneous food shops convenience and speciality retail outlets,5499,All Other Categories,,0.0,0.0
2017-05,Miscellaneous apparel and accessory shops,5699,All Other Categories,,0.02,0.0
2017-05,Electronics shops,5732,All Other Categories,,0.02,0.0
2017-05,"Colleges, universities, professional schools and junior colleges",8220,All Other Categories,,0.03,0.0
2017-05,"Lodging hotels, motels and resorts",7011,All Other Categories,,0.01,0.0
2017-05,Others,Others,All Other Categories,,0.13,0.03
2017-05,Total,,All Other Categories,,99.03,1.92
2017-06,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,45.82,1.59
2017-06,Groceries and supermarkets,5411,High Transacting Categories,,16.05,0.22
2017-06,Department stores,5311,High Transacting Categories,,26.33,0.2
2017-06,Wire transfers and money orders,4829,High Transacting Categories,,1.24,0.11
2017-06,Travel agencies and tour operators,4722,High Transacting Categories,,1.93,0.02
2017-06,Bus lines,4131,High Transacting Categories,,1.22,0.02
2017-06,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.21,0.01
2017-06,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",4214,High Transacting Categories,,1.11,0.01
2017-06,General contractors residential and commercial,1520,High Transacting Categories,,0.78,0.01
2017-06,Debt collection agencies,7322,High Transacting Categories,,1.8,0.0
2017-06,Government services not elsewhere classified,9399,Medium Transacting Categories,,0.04,0.0
2017-06,Eating places and restaurants,5812,Medium Transacting Categories,,0.03,0.0
2017-06,Financial institutions merchandise and services,6012,Medium Transacting Categories,,0.38,0.0
2017-06,Drug stores and pharmacies,5912,Medium Transacting Categories,,0.03,0.0
2017-06,Financial institutions automated cash disbursements,6011,Medium Transacting Categories,,0.0,0.0
2017-06,Motion picture theatres,7832,Medium Transacting Categories,,0.02,0.0
2017-06,Miscellaneous general merchandise,5399,Medium Transacting Categories,,0.11,0.0
2017-06,"Utilities electric, gas, water and sanitary",4900,Medium Transacting Categories,,0.04,0.0
2017-06,Service stations (with or without ancillary services),5541,Medium Transacting Categories,,0.02,0.0
2017-06,Taxi-cabs and limousines,4121,Medium Transacting Categories,,0.01,0.0
2017-06,Schools and educational services not elsewhere classified,8299,All Other Categories,,0.04,0.0
2017-06,Theatrical producers (except motion pictures) and ticket agencies,7922,All Other Categories,,0.01,0.0
2017-06,Miscellaneous food shops convenience and speciality retail outlets,5499,All Other Categories,,0.01,0.0
2017-06,"Insurance sales, underwriting and premiums",6300,All Other Categories,,0.14,0.0
2017-06,Securities brokers and dealers,6211,All Other Categories,,0.02,0.0
2017-06,Financial institutions manual cash disbursements,6010,All Other Categories,,0.0,0.0
2017-06,"Lodging hotels, motels and resorts",7011,All Other Categories,,0.01,0.0
2017-06,Buying and shopping services and clubs,7278,All Other Categories,,0.0,0.0
2017-06,"Colleges, universities, professional schools and junior colleges",8220,All Other Categories,,0.02,0.0
2017-06,Others,Others,All Other Categories,,0.08,0.01
2017-06,Total,,All Other Categories,,97.5,2.2
2017-07,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,52.42,1.73
2017-07,Government services not elsewhere classified,9399,High Transacting Categories,,0.09,0.38
2017-07,Groceries and supermarkets,5411,High Transacting Categories,,21.5,0.28
2017-07,Wire transfers and money orders,4829,High Transacting Categories,,1.59,0.13
2017-07,Department stores,5311,High Transacting Categories,,8.68,0.07
2017-07,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.44,0.03
2017-07,Travel agencies and tour operators,4722,High Transacting Categories,,2.17,0.02
2017-07,Bus lines,4131,High Transacting Categories,,1.11,0.02
2017-07,General contractors residential and commercial,1520,High Transacting Categories,,1.33,0.02
2017-07,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",4214,High Transacting Categories,,1.38,0.01
2017-07,Debt collection agencies,7322,Medium Transacting Categories,,3.29,0.01
2017-07,Taxi-cabs and limousines,4121,Medium Transacting Categories,,0.03,0.0
